psp,txn_id,order_id,operation_type,provider_ref,currency,cause,corrected_from,engine_usd,provider_usd,corrected_usd,correction_usd
paypal_us,TXN-100908,ORD-500908,SALE,0XPPF1W639Z9XDZNU,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101362,ORD-501362,SALE,1A9CKMDZWB2PT41CQ,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100419,ORD-500419,SALE,1D905EPNDQDYLDE02,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-107823,ORD-501791,REFUND,1Y6YTZMVSY3J5MA6F,USD,matched,engine,-24.99,-24.99,-24.99,0.00
paypal_us,TXN-101995,ORD-501995,SALE,2FNLXFCS3KYM8C3WD,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100024,ORD-500024,SALE,2KVVUZSZFYP0T8NP6,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100451,ORD-500451,SALE,2Q7YEXMYQ598M1KW0,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100285,ORD-500285,SALE,2UQKZJRYB9PLQPRNP,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101425,ORD-501425,SALE,35CVN0RA9SN72CYA0,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-100277,ORD-500277,SALE,380CTJP5VYGWW0QJP,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101113,ORD-501113,SALE,3WR0TMC2XX05A1SHG,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100378,ORD-500378,SALE,3YM0YXA73BA6FFRGN,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100562,ORD-500562,SALE,44RBBDLJJN1S2B5A4,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101542,ORD-501542,SALE,45FQV4NEZ6XVQR1N5,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100995,ORD-500995,SALE,4F3ES9C93LA93KE9U,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-101830,ORD-501830,SALE,4KP8X5URNDRCECY91,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100527,ORD-500527,SALE,52E16L39MJHZHST1F,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101009,ORD-501009,SALE,5HE89H833705XF7YJ,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101644,ORD-501644,SALE,5PYM9W8AA31SSSYZW,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101144,ORD-501144,SALE,67NK7ADX0ZZHN0SRC,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101267,ORD-501267,SALE,6AKUE9J8UECW7ZPQ8,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100267,ORD-500267,SALE,6BDE3Z077WYWD4QBJ,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100581,ORD-500581,SALE,6G0FMZGHVV38XPD47,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100117,ORD-500117,SALE,6HHMRNVCBD2APWT9E,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100877,ORD-500877,SALE,6HN4MZFMSFSY1WYKW,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100918,ORD-500918,SALE,6NMH3NHU3MDSCJ28C,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-107797,ORD-500856,REFUND,6S6WRRR0CCZNTYQPH,USD,matched,engine,-12.50,-12.50,-12.50,0.00
paypal_us,TXN-100528,ORD-500528,SALE,6VFQ79TGLS11U7TRS,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100020,ORD-500020,SALE,7BGMVMJ5CMPYF7UPB,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100205,ORD-500205,SALE,7C5TWQ3XWBFM3LRTM,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101185,ORD-501185,SALE,7G1C77WYERWNTTAZD,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100719,ORD-500719,SALE,7NF5YYHSJ5G8Y1HKH,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100861,ORD-500861,SALE,7XPBMVNSQBD81SQJC,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101907,ORD-501907,SALE,7YWDEWX9MUA5WVMQ4,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100328,ORD-500328,SALE,8EEAFW8JB40Y8UF1E,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100687,ORD-500687,SALE,8LZ8BQAGFCJM0YX53,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101181,ORD-501181,SALE,9NM69LAKEG0R1FH35,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100482,ORD-500482,SALE,A24GGUCY17SY1RVU8,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101429,ORD-501429,SALE,ARJZPV3GFSZPEZ0LX,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100557,ORD-500557,SALE,B4C55WSVWWEJCT1JS,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-102028,ORD-502028,SALE,BT4AXEVZAWZK5D1VS,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100213,ORD-500213,SALE,CB4W0DVT9QRAZ7U00,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101565,ORD-501565,SALE,CGSRPDCET82JMH1G7,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100279,ORD-500279,SALE,CZBQU75T7B8E2TW66,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100350,ORD-500350,SALE,D03FV31FFRDXZRN70,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-107986,ORD-507809,SALE,DAB2MG8NSYNB3UXDY,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-107986,ORD-507809,SALE,DAB2MG8NSYNB3UXDY,USD,duplicate_row_in_export,engine,0.00,9.99,0.00,0.00
paypal_us,TXN-100392,ORD-500392,SALE,DDG2KTDS9YEZVXQEX,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100693,ORD-500693,SALE,DWXGZYN35DS2X67YL,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101694,ORD-501694,SALE,FGX00CW9QVJPLZYGD,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100858,ORD-500858,SALE,FLY9W98S0GCSV98X7,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100691,ORD-500691,SALE,G040D6KKVNCJR2LNF,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101587,ORD-501587,SALE,GN9632M9MKNKQQ67M,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100546,ORD-500546,SALE,H2C1QW70D65XZB71A,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101811,ORD-501811,SALE,HEKRRTUKPMFJS12A1,USD,matched,engine,9.99,9.99,9.99,0.00
