psp,txn_id,order_id,operation_type,engine_status,engine_at,provider_ref,provider_type,provider_status,provider_at,currency,engine_amount,provider_amount,engine_in_period,provider_in_period,engine_usd,provider_usd,cause,diff_usd,cause_bucket
paypal_us,TXN-100908,ORD-500908,SALE,settled,2026-06-08 11:09:00,0XPPF1W639Z9XDZNU,Website Payment,Completed,2026-06-08 11:09:00,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101362,ORD-501362,SALE,settled,2026-06-17 17:42:39,1A9CKMDZWB2PT41CQ,Website Payment,Completed,2026-06-17 17:42:39,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100419,ORD-500419,SALE,settled,2026-06-29 17:28:10,1D905EPNDQDYLDE02,Website Payment,Completed,2026-06-29 17:28:10,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-107823,ORD-501791,REFUND,settled,2026-06-17 10:50:20,1Y6YTZMVSY3J5MA6F,Refund,Refunded,2026-06-17 10:50:20,USD,24.99,-24.99,true,true,-24.99,-24.99,matched,0.00,matched
paypal_us,TXN-101995,ORD-501995,SALE,settled,2026-06-27 12:42:04,2FNLXFCS3KYM8C3WD,Website Payment,Completed,2026-06-27 12:42:04,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100024,ORD-500024,SALE,settled,2026-06-13 13:03:24,2KVVUZSZFYP0T8NP6,Website Payment,Completed,2026-06-13 13:03:24,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-100451,ORD-500451,SALE,settled,2026-06-08 16:57:28,2Q7YEXMYQ598M1KW0,Website Payment,Completed,2026-06-08 16:57:28,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100285,ORD-500285,SALE,settled,2026-06-29 16:43:31,2UQKZJRYB9PLQPRNP,Website Payment,Completed,2026-06-29 16:43:31,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101425,ORD-501425,SALE,declined,2026-06-18 15:32:55,35CVN0RA9SN72CYA0,Website Payment,Denied,2026-06-18 16:02:55,USD,24.99,24.99,true,true,0.00,0.00,matched_declined,0.00,matched
paypal_us,TXN-100277,ORD-500277,SALE,settled,2026-06-05 11:26:01,380CTJP5VYGWW0QJP,Website Payment,Completed,2026-06-05 11:26:01,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101113,ORD-501113,SALE,settled,2026-06-29 10:18:04,3WR0TMC2XX05A1SHG,Website Payment,Completed,2026-06-29 10:18:04,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-100378,ORD-500378,SALE,settled,2026-06-10 07:49:29,3YM0YXA73BA6FFRGN,Website Payment,Completed,2026-06-10 07:49:29,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100562,ORD-500562,SALE,settled,2026-06-03 13:42:06,44RBBDLJJN1S2B5A4,Website Payment,Completed,2026-06-03 13:42:06,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101542,ORD-501542,SALE,settled,2026-06-30 11:52:18,45FQV4NEZ6XVQR1N5,Website Payment,Completed,2026-06-30 11:52:18,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100995,ORD-500995,SALE,settled,2026-06-07 09:23:11,4F3ES9C93LA93KE9U,Website Payment,Completed,2026-06-07 09:23:11,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-101830,ORD-501830,SALE,settled,2026-06-04 13:39:57,4KP8X5URNDRCECY91,Website Payment,Completed,2026-06-04 13:39:57,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100527,ORD-500527,SALE,settled,2026-06-21 13:16:13,52E16L39MJHZHST1F,Website Payment,Completed,2026-06-21 13:16:13,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101009,ORD-501009,SALE,settled,2026-06-03 14:29:32,5HE89H833705XF7YJ,Website Payment,Completed,2026-06-03 14:29:32,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-101644,ORD-501644,SALE,settled,2026-06-07 09:08:31,5PYM9W8AA31SSSYZW,Website Payment,Completed,2026-06-07 09:08:31,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
